id;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;quality
e21c0301-247f-4db2-810a-6169b7274c86;11.9;0.043;37.0;213.0;0.9962;3.09;0.5;6
5fdf5939-b149-4ce4-8b75-a16e7ee77abf;12.4;0.048;50.0;147.0;0.9972;3.3;0.36;6
58b318f9-9722-40d7-a621-7a5c58e72703;4.6;0.044;25.0;78.0;0.9931;3.11;0.38;6
28557756-c097-4745-8eb1-4df35f547243;1.2;0.038;44.0;111.0;0.9926;3.36;0.34;6
13bb5c28-abee-4d2d-a4ab-cfb15b627055;4.9;0.092;30.0;123.0;0.9951;3.03;0.46;6
f4a5f944-6197-4028-87ab-16fbe333e54a;12.4;0.048;50.0;147.0;0.9972;3.3;0.36;6
6d512205-5bfa-40d0-95f2-af023e7af183;1.1;0.035;17.0;151.0;0.991;3.02;0.34;5
3c4c8b84-02f0-4b7b-90d2-f866ec7086c7;4.6;0.044;25.0;78.0;0.9931;3.11;0.38;6
a07f152d-e0aa-4256-8b4c-13b1365acf32;1.4;0.038;31.0;122.0;0.9927;3.15;0.46;6
9dc65910-06d9-4f75-a84e-75fd6e15828c;1.2;0.064;29.0;120.0;0.9934;3.22;0.54;5
c860c808-f617-4a10-805e-d6dff288ebd0;6.4;0.04;27.0;124.0;0.9903;3.22;0.49;7
9c3cecd6-bf81-48ae-8099-93f19d589f07;1.2;0.041;81.0;174.0;0.992;3.14;0.42;5
549fe341-2408-46f6-b171-76b56d41e3ba;2.1;0.046;30.0;96.0;0.9926;3.33;0.64;8
1a3ccfc1-2fef-459d-8cf7-a24451c80d1e;10.1;0.05;21.0;105.0;0.9962;3.13;0.35;5
4d4c9f6a-c1bc-4d65-b89d-5e637c201948;7.8;0.056;48.0;244.0;0.9956;3.1;0.51;6
1589c812-5de3-4b23-9252-2dd86eeb3fba;4.6;0.061;50.5;238.5;0.9958;3.32;0.6;5
2809449c-c4df-4ba4-b86c-3d8ece469065;4.8;0.063;31.0;201.0;0.9964;3.69;0.71;5
363ee437-7a18-4b10-ac27-0f8eb05a1bbd;1.0;0.054;9.0;72.0;0.9941;2.95;0.49;6
3bc004b7-e161-4b0c-a4d7-8a243eba7334;2.1;0.046;30.0;96.0;0.9926;3.33;0.64;8
cbd52329-de30-4608-9257-3038974e890a;10.1;0.05;21.0;105.0;0.9962;3.13;0.35;5
6d2fb5f8-171f-4019-ab0f-e96c91b22e97;1.4;0.043;31.0;87.0;0.9898;3.26;0.37;7
da41778c-82e4-4602-b3ed-73155e34707e;1.3;0.042;20.0;69.0;0.9912;3.31;0.65;7
842b12a6-cbbb-4068-a9c4-4e3be123f4f0;8.8;0.064;26.0;103.0;0.9961;2.94;0.56;5
f99d2892-9bde-4f4e-93bd-82ea3a30b47c;5.4;0.06;21.0;105.0;0.9949;3.27;0.37;5
224af5f1-1575-4d70-882d-fe4d815c0285;1.4;0.053;34.0;114.0;0.9929;3.39;0.77;6
45d563e0-dbb8-412d-83ea-b6dbcf86cc48;16.0;0.05;51.0;166.0;0.9985;3.21;0.6;6
431363a9-6d91-4c8c-b67e-1010768d1129;6.1;0.063;47.0;164.0;0.9946;3.17;0.42;5
4defe615-3a30-4e0e-9feb-1b642040a564;8.2;0.047;42.0;207.0;0.9966;3.33;0.46;6
3b2d4d50-9d5b-4fd6-a7b3-15f74bb3b7d6;11.8;0.045;54.0;155.0;0.9974;3.11;0.45;5
724c60e6-9d6a-4f50-8dc7-53ee1d35ed54;11.8;0.044;52.0;152.0;0.9975;3.12;0.46;6
34e61673-1c89-4390-bff2-0ad955f5e067;11.0;0.044;55.0;156.0;0.9974;3.09;0.44;6
c5c3073b-ad84-41c5-bfc9-2da422259c3e;13.3;0.05;69.0;202.0;0.9972;3.22;0.48;6
31d3b496-e4f6-4cdf-a8fe-cf90dfef4368;11.8;0.045;54.0;155.0;0.9974;3.11;0.45;5
01e46aea-616e-4f1f-99f4-5153a9aab5a7;11.8;0.044;52.0;152.0;0.9975;3.12;0.46;6
7d3ccf0b-0a7c-4468-8b1e-06deaba07eca;11.0;0.044;55.0;156.0;0.9974;3.09;0.44;6
51e04388-cdc3-4928-b5af-e15cc260c391;7.5;0.049;65.0;243.0;0.9957;3.12;0.47;5
bf44491d-f96b-437d-afc1-9d62a055e9ce;1.7;0.035;47.0;136.0;0.99;3.26;0.4;7
196627a6-7431-4a65-a5e8-0d5c3aceff0b;1.8;0.034;48.0;136.0;0.9899;3.25;0.41;7
8c18cf8d-37ed-446a-ab9f-19ceef3c4194;1.7;0.04;51.0;148.0;0.9916;3.21;0.44;7
710fdaf7-f3fa-459b-9498-a453c6b8e292;12.4;0.044;62.0;240.0;0.9969;3.04;0.42;6
69d377b9-10c0-4517-b91f-74c7a0e18198;15.9;0.046;26.0;164.0;0.9979;3.14;0.5;6
c3bb0909-5c61-430d-8fde-4526e837fd60;1.2;0.034;15.0;80.0;0.9913;2.95;0.36;7
a3a0c3bb-2579-4901-bac4-51f0de4d70db;10.5;0.038;4.0;83.0;0.9956;2.89;0.3;4
03e809aa-d564-45d0-aa9c-b605972ed3cf;15.9;0.046;26.0;164.0;0.9979;3.14;0.5;6
66a2bee2-f3b3-4811-b579-c129d0b1dc7b;13.5;0.06;52.0;192.0;0.9975;3.0;0.44;5
8a7d41ea-61f6-4834-98f0-d50f9798527b;9.6;0.054;64.0;162.0;0.9962;3.4;0.41;5
7fbc2dad-260d-4074-abf2-2fd4d8657b9c;12.1;0.05;55.0;164.0;0.997;3.34;0.39;5
c64956ab-9657-4a98-ae85-33afa0590336;18.9;0.059;44.0;170.0;1.0;2.99;0.46;5
1ffc9207-668d-4dfe-b229-244ce1039266;13.5;0.06;52.0;192.0;0.9975;3.0;0.44;5
fd068630-a0a1-48c1-96b1-c97bba513f78;14.4;0.051;34.0;109.0;0.9974;3.2;0.35;6
5e20e870-e3fd-4426-9fc4-7368723fc7d6;9.6;0.054;64.0;162.0;0.9962;3.4;0.41;5
ca0a745e-4a22-48af-9006-4032f0e6e1bf;16.5;0.04;60.0;171.0;0.999;3.16;0.59;6
b49da0f8-6b3a-4135-8145-ca308d049d89;16.5;0.04;60.0;171.0;0.999;3.16;0.59;6
ac2c4b92-b4de-49e6-a280-66820a43df3c;1.3;0.051;37.0;187.0;0.9927;3.27;0.6;5
c0099b07-3889-48de-ad37-0bf3b83b66b5;8.5;0.082;64.0;163.0;0.9959;2.89;0.39;6
37235046-379e-4be2-9b33-5695f553735d;18.75;0.052;45.0;255.0;1.0;3.04;0.52;5
3dbdc080-42ec-48e7-9c7b-0413f09d6358;13.3;0.056;68.0;195.0;0.9982;3.01;0.47;5
7742c812-2789-46c9-8fce-7ecf0726b006;9.2;0.049;29.0;150.0;0.9968;3.22;0.51;5
9d1a8216-329c-48d8-965c-a109d3c99216;9.2;0.049;29.0;150.0;0.9968;3.22;0.51;5
6c71497c-db60-4336-a3a2-e33fcb8b6f17;1.5;0.065;8.0;103.0;0.994;3.63;0.4;4
ababf9ea-e3c5-44ce-b681-a0ce01b9b533;3.3;0.041;25.0;143.0;0.9914;3.31;0.44;6
bb048467-684c-4abc-b0ef-c65293bb4956;1.7;0.035;16.0;85.0;0.9911;3.19;0.42;6
6b71ced7-c902-4b95-bde8-db4014b7e6e6;13.3;0.056;68.0;195.0;0.9982;3.01;0.47;5
5abcfef3-45e3-414e-b901-558f928ad5f5;13.3;0.06;57.0;196.0;0.9982;3.04;0.5;5
6ecc7d6d-b587-4f9d-89b5-8f9e2ea98d57;5.7;0.046;21.0;87.0;0.9934;3.22;0.51;5
c296278e-66a7-4161-a3db-f397e39cf8ae;12.2;0.054;42.0;138.0;0.9984;3.01;0.54;5
d9baf911-d7ee-4377-bc00-78745cca370f;6.85;0.059;31.0;131.0;0.9952;3.29;0.34;5
4ddd72b1-8017-48e3-aa91-58d32f8bd13c;5.0;0.058;14.0;146.0;0.9952;3.29;0.36;6
401ef496-c7e1-4d25-b807-036780423593;1.6;0.092;40.0;158.0;0.9928;3.21;0.36;6
b4ca713a-6514-4fbd-a54c-eec10f3018f5;1.1;0.026;63.0;143.0;0.9912;3.27;0.48;6
e77c13f5-2e42-46eb-a4b4-f30672c79a8f;7.0;0.033;29.0;126.0;0.994;3.14;0.42;5
0dc6b6f8-d438-40a7-88cf-586ffe9a2ba2;7.6;0.038;48.0;203.0;0.9958;3.45;0.54;7
b532c7fc-b492-4eca-a63a-ff6a05d1b482;2.8;0.044;47.0;179.0;0.9924;3.3;0.57;7
7f3152a9-89ab-4df8-8ba0-8053516e6389;2.7;0.046;46.0;184.0;0.9924;3.31;0.57;6
4a7ec0fb-7a06-4d0e-a9e1-c5ddb84106ab;10.4;0.02;7.0;57.0;0.994;3.39;0.37;5
48525bb6-f1d2-4949-909c-8c5c68b0b105;7.6;0.038;48.0;203.0;0.9958;3.45;0.54;7
57b47804-35ac-45fe-b094-4feb03e812ba;13.1;0.038;59.0;241.0;0.9979;3.23;0.57;5
dd1d1dc6-5289-44c2-8eb7-9801686696b3;15.8;0.035;46.0;188.0;0.9982;3.24;0.51;5
a599dfe3-a570-4d4a-9673-e0b7443b9fbf;8.1;0.034;55.0;203.0;0.9961;3.19;0.52;5
7a5afa2b-68fa-4c23-bfc5-df669a702e38;15.7;0.036;44.0;179.0;0.9979;3.26;0.56;5
a768b576-7a90-4678-885d-5cbdc649d19b;1.2;0.027;36.0;121.0;0.992;3.12;0.38;6
4c1ebcfd-b531-40ce-b4bd-9969694b5831;10.5;0.045;49.0;155.0;0.9975;3.16;0.44;5
c78b60ef-39f7-4b5a-9199-b2e2415d37e7;1.9;0.035;30.0;96.0;0.9917;3.15;0.54;7
be47ce59-57e0-435b-b32d-78acf3a983b2;1.9;0.029;18.0;79.0;0.9923;3.23;0.52;6
f3cf218e-c08f-4421-9876-f31f7b437787;2.2;0.045;20.0;77.0;0.9927;3.3;0.43;5
35a9ee51-a7ea-4b46-8111-2b9f177dd1fd;10.5;0.045;49.0;155.0;0.9975;3.16;0.44;5
9cb5e37b-2e14-4b97-954c-52dbbae8b244;1.2;0.039;38.0;107.0;0.992;3.21;0.54;6
413176eb-63b6-4c12-a170-206d228952a8;4.3;0.036;24.0;99.0;0.9947;3.18;0.53;6
9390671a-661f-48ad-9a42-68e2dd3d1d7b;2.0;0.037;19.0;87.0;0.9921;3.12;0.54;6
28dd0619-76bf-4022-bbd5-ca9288e98fa3;1.1;0.04;37.0;114.0;0.9905;3.0;0.39;6
cc80c26f-2707-40d5-9aca-c63d021e7053;1.4;0.044;53.0;168.0;0.9918;3.28;0.37;6
a7725b10-25ee-4654-9096-152d61815d94;5.2;0.058;15.0;97.0;0.9951;3.38;0.36;4
d7b58f10-f244-43f5-974b-a31c016263a8;4.6;0.034;19.0;80.0;0.9917;3.38;0.58;7
ddc487cf-fead-4c7d-bb3b-96ac25fd6855;4.1;0.054;23.0;116.0;0.994;2.99;0.38;6
25891187-10c6-4262-bce9-fb8a6edeec5f;8.0;0.043;46.0;152.0;0.9934;3.12;0.32;7
1d17b0e2-46d0-430e-aefa-a80edf479456;10.2;0.055;58.0;135.0;0.9968;3.14;0.43;6
0858a018-f182-499c-87c2-7ed435ed414c;4.1;0.054;23.0;116.0;0.994;2.99;0.38;6
b48caee5-7940-4fb3-897f-2ea38f83ffb3;1.2;0.048;41.0;97.0;0.9919;3.14;0.45;5
1b2bda45-92d5-4763-8704-209cff1d379d;7.5;0.049;12.0;76.0;0.9966;3.06;0.84;6
00df7361-2438-467b-95ee-577efbadc621;14.0;0.066;48.0;198.0;0.9979;2.89;0.42;6
2195831d-9446-4c94-8b2b-319ce5236339;14.0;0.066;48.0;198.0;0.9979;2.89;0.42;6
d3895e50-030d-4427-8427-38c1b71480a3;1.5;0.036;38.0;124.0;0.9898;3.29;0.42;7
6a0e4f4e-c576-4561-b574-fa141acf74ec;1.4;0.036;43.0;119.0;0.9894;3.36;0.33;8
6383006d-a9cc-4260-80a5-6af5a7989812;1.4;0.036;43.0;119.0;0.9894;3.36;0.33;8
6637ab12-9def-46fc-8dcd-60a66795b05b;1.5;0.036;38.0;124.0;0.9898;3.29;0.42;7
67f0545e-1dd0-423c-8347-962594482f2a;14.5;0.055;27.0;159.0;0.998;2.98;0.4;5
40104497-ec78-40db-bd43-18e7087ef8a8;4.8;0.049;14.0;85.0;0.9932;3.28;0.39;5
b689ba6c-fc33-4d7d-9ec6-b0178c39f1f3;14.0;0.066;48.0;198.0;0.9979;2.89;0.42;6
990e0e2e-9007-47b0-8a1b-16d7b2deb5ae;13.1;0.05;64.0;205.0;0.997;3.15;0.5;5
5e51c863-a1bb-4db5-89de-0dddefafac35;13.0;0.051;72.0;177.0;0.9972;3.16;0.49;5
68a728f5-622a-40c7-af06-a388bf0b4d8a;8.7;0.048;39.0;197.0;0.9974;3.14;0.59;6
0d38f24f-5cca-4108-813f-243282f2c8ca;2.4;0.034;25.0;98.0;0.9896;3.08;0.44;7
3010e463-0428-4db2-98b1-15a75735c505;8.95;0.055;20.0;151.0;0.9968;3.08;0.54;5
0e3aceb9-b668-4de0-937d-c6626dd0dbf5;9.85;0.034;5.0;110.0;0.9958;2.87;0.29;5
6f189e5c-c8ed-4fb9-9af1-be87831d66b8;1.5;0.066;29.0;133.0;0.9906;3.12;0.54;6
6c4adbe6-0c95-4511-a202-69bddb4d4b7d;1.5;0.045;17.0;96.0;0.9917;3.13;0.39;6
69e31ec7-e3c2-421b-9ec0-7a05de7cee75;0.8;0.037;4.0;100.0;0.9902;3.03;0.39;4
1088f01f-6354-4d14-a172-3b059a2dd8f6;4.55;0.038;31.0;130.0;0.9918;3.35;0.33;7
bd6593f2-1810-4a93-bcf0-9168dfa56d82;17.7;0.051;33.0;173.0;0.999;3.09;0.64;5
3109cc66-92ec-4944-ba30-459048f5fa67;7.5;0.04;50.0;151.0;0.9927;3.11;0.27;6
04b83820-3324-48be-b776-00e35d398fa3;5.1;0.044;19.0;65.0;0.991;3.03;0.41;4
6a7008a1-5a27-49b7-8c6e-7b6a4cde546a;12.9;0.054;57.0;170.0;0.9972;3.28;0.39;5
f6063c6b-a510-4988-bfe3-52f83cb67474;1.2;0.06;9.0;108.0;0.9931;3.11;0.35;4
1089f30c-87d3-4e42-a9cf-c9f1bd6b3c78;5.5;0.049;41.0;176.0;0.995;3.19;0.68;6
0ff96fa1-22bf-47b2-80a9-0570ac036f1d;5.5;0.048;42.0;173.0;0.9951;3.19;0.66;6
c64b4c8b-741b-4dae-8e53-ef0ac846c93b;1.2;0.053;61.0;183.0;0.9936;3.09;0.43;5
68b3f9a0-d817-41ae-9d85-20db6087d422;22.0;0.048;48.0;167.0;1.001;2.93;0.5;5
d0b846b5-ce76-47fe-98ab-6247401a27ac;14.0;0.05;64.0;227.0;0.9979;3.18;0.58;6
c94b6e9f-3716-4d43-8f5b-973966cef72a;11.9;0.043;64.0;226.0;0.997;3.02;0.63;5
412983a5-1b45-4d8a-822e-ef9151c676d1;11.9;0.043;66.0;230.0;0.9972;3.02;0.63;5
ce4ec1f5-9002-475a-b7d2-b2dfd9c96dcc;9.4;0.04;49.0;166.0;0.9954;3.12;0.61;6
2686a5af-715c-42e0-bd32-0b7bdfa53737;4.2;0.038;42.0;119.0;0.9924;3.15;0.5;5
e2bc5c92-8ef3-4683-ad67-1bf7c0b50665;3.8;0.034;26.0;109.0;0.9906;3.26;0.57;8
30451c56-7d6c-4417-8bf1-b1a8ac3c452e;8.5;0.047;54.0;210.0;0.9962;3.09;0.54;4
cada3b96-6b09-4227-828d-18c346dcadfe;8.5;0.052;55.0;211.0;0.9962;3.09;0.55;6
bb8c5bff-e281-4c76-88f3-2156fbd61c67;22.0;0.048;48.0;167.0;1.001;2.93;0.5;5
2831d3ad-8f8e-4559-b0f7-f6706d0c5636;8.0;0.045;28.0;123.0;0.9928;3.02;0.37;6
68a5cfe0-4203-42b7-8df7-af5ff4685969;5.1;0.055;34.0;125.0;0.9942;3.36;0.42;5
68665909-4684-4ee7-be02-0f2d7df01caa;3.6;0.2;75.0;181.0;0.9942;3.02;0.41;5
84624b08-6cde-42e8-a810-6d3c6bbfa2c4;3.5;0.197;76.0;180.0;0.9942;3.02;0.39;6
cd4a0634-2bf6-4912-afb5-f334f210b201;3.6;0.197;75.0;183.0;0.9942;3.01;0.38;5
0a795b6c-e345-4368-b549-5d44a0a6e5ca;7.8;0.052;54.0;214.0;0.9961;3.13;0.47;5
549576d6-253c-4a93-a051-84f78c9f2849;13.1;0.05;52.0;204.0;0.998;3.1;0.49;5
825c2b8d-242c-4cf8-b165-9407d26c9902;7.8;0.052;54.0;214.0;0.9961;3.13;0.47;5
b70a9c37-12ce-453f-9ae6-c511c284f3f8;16.1;0.049;55.0;196.0;0.9984;3.15;0.5;5
8e5952ff-39cf-45be-83f3-d726fafe4a94;13.1;0.05;52.0;204.0;0.998;3.1;0.49;5
4bf51ed8-5b18-40fe-8967-b7e62f42b794;13.2;0.05;53.0;236.0;0.9973;3.2;0.5;5
19519366-c4b5-432b-898b-aa9af530ed8f;13.9;0.034;39.0;134.0;0.9949;3.33;0.53;6
dd90b848-e9b8-47b2-9d19-10ae4eecb504;2.3;0.053;36.0;114.0;0.9924;3.28;0.5;4
960ed9e1-94ad-450d-b441-011548085ab3;11.6;0.042;45.0;153.0;0.9972;3.15;0.43;5
faa010c1-221f-4219-8ab3-e9a8dac417df;8.3;0.045;38.0;126.0;0.9958;3.21;0.34;5
41178ede-ba98-457c-89b2-e3b6e8dc0895;6.2;0.049;20.0;124.0;0.9968;2.99;0.51;4
7c6863cc-384d-4d54-956a-3227034f5559;2.2;0.04;15.0;77.0;0.9938;3.32;0.74;5
a0136ec9-5d6e-4acc-a3b7-50a7d553c488;0.9;0.048;23.0;170.0;0.993;3.22;0.77;6
067ab252-0417-453c-b4a1-21db4671064d;9.7;0.032;12.0;68.0;0.994;3.31;0.34;5
0091d7b2-bbb4-42da-ab83-1a6d5fc111d9;1.4;0.038;35.0;111.0;0.9918;3.32;0.59;7
1e61b1e1-40ca-4ac5-af80-8198808151a2;8.3;0.045;38.0;126.0;0.9958;3.21;0.34;5
8d09fa30-de14-4113-8b03-2de1094b03cb;5.3;0.051;31.0;122.0;0.9944;3.44;0.37;6
8b80b7b5-c2b4-4269-8e89-29c0c821e6f1;1.4;0.03;35.0;105.0;0.9912;3.3;0.44;7
7a054af0-22b6-403d-b5ed-9ad8bb6205c0;9.2;0.044;55.0;152.0;0.9961;3.31;0.38;5
1e99e055-33f2-4d60-9d9c-efb49227e42c;7.0;0.036;45.0;164.0;0.9939;3.03;0.33;5
2ef1f7f7-84c2-46ab-b37a-80224db92bdd;9.2;0.044;55.0;152.0;0.9961;3.31;0.38;5
c1a6c63b-cba9-44cd-9d68-85c1f8573b65;17.5;0.044;60.0;167.0;0.9989;3.31;0.44;5
64ebbfd2-cf21-4c84-9b3f-c62280374718;7.0;0.036;43.0;161.0;0.9938;3.04;0.32;5
ce7255b1-be56-4fea-99a6-f62cea2f4a73;7.0;0.036;45.0;164.0;0.9939;3.03;0.33;5
445538ac-f61b-4bf7-8915-06466d52e413;9.5;0.07;33.0;172.0;0.9971;3.0;0.55;6
0bfb4b70-132e-4d41-ab90-7d3d4260ab50;1.4;0.03;35.0;105.0;0.9912;3.3;0.44;7
6316d14e-c25e-4326-926c-66f83bad1b90;0.8;0.043;33.0;144.0;0.9936;3.42;0.39;6
fbee289d-661a-4b29-824e-0f8b35c4e933;1.8;0.046;31.0;140.0;0.9929;3.39;0.54;6
51d32974-c6f3-4ad7-a69d-40cde0931513;17.8;0.046;39.0;145.0;0.9998;3.32;0.39;5
be5e8d4e-6cba-4eb7-a457-d4057a6ab306;2.4;0.048;41.0;200.0;0.9938;3.5;0.5;6
4d984227-ccf1-4734-a23b-6e990995bee4;10.3;0.041;66.0;272.0;0.9969;3.17;0.52;6
843b53be-27e6-4147-a0c6-418ebfe12673;2.4;0.048;41.0;200.0;0.9938;3.5;0.5;6
4aba630b-761a-4737-81b8-5f2cfc0f829f;17.8;0.046;39.0;145.0;0.9998;3.32;0.39;5
32c9d729-e81c-4646-bffd-df1aeaedf3b0;9.7;0.062;26.0;142.0;0.9972;3.37;0.46;4
14021269-af8c-47a9-9066-f5da8291fc73;7.8;0.041;38.0;194.0;0.9976;3.34;0.51;6
82276b41-36fe-4d2e-b579-ef6dc92613ec;7.8;0.039;49.0;208.0;0.9976;3.31;0.51;6
adbfe78b-2692-4e16-aab6-f9e695eec7eb;14.3;0.058;55.0;194.0;0.9979;3.09;0.44;6
aba8e757-d137-4f00-a7d8-fb34c962573b;14.3;0.058;55.0;194.0;0.9979;3.09;0.44;6
9931d8c6-8460-4598-8c09-7656d79ea7c4;14.3;0.058;55.0;194.0;0.9979;3.09;0.44;6
1d9f4262-1f72-4a1b-ab3b-635bdd3665c0;14.3;0.058;55.0;194.0;0.9979;3.09;0.44;6
7a0f49ae-52bf-4f95-a333-8f0788bd202a;13.2;0.044;54.0;221.0;0.9972;3.27;0.5;6
8c162ca7-6819-41ea-8fdc-5b19d1985494;1.4;0.037;40.0;120.0;0.9918;3.34;0.41;7
af81c6c1-c2e6-4446-9867-daa26d0bd543;15.55;0.039;28.0;159.0;0.9982;3.48;0.64;6
