id;fixed acidity;volatile acidity;citric acid;alcohol
57b4780435ac45feb0944feb03e812ba;6.5;0.425;0.4;9.0
dd1d1dc6528944c28eb79801686696b3;6.6;0.24;0.27;9.2
a599dfe3a5704d4a9673e0b7443b9fbf;6.8;0.27;0.22;8.9
7a5afa2b68fa4c23bfc5df669a702e38;6.7;0.27;0.31;9.6
a768b5767a904678885d5cbdc649d19b;8.2;0.23;0.4;10.7
4c1ebcfdb53140ceb4bd9969694b5831;7.1;0.37;0.67;8.7
c78b60ef39f74b5a9199b2e2415d37e7;6.8;0.19;0.36;10.8
be47ce5957e0435bb32d78acf3a983b2;8.1;0.28;0.39;11.8
f3cf218ec08f44219876f31f7b437787;6.3;0.31;0.34;10.2
35a9ee51a7ea4b4681112b9f177dd1fd;7.1;0.37;0.67;8.7
9cb5e37b2e144b97954c52dbbae8b244;7.9;0.21;0.4;10.8
413176eb63b64c12a170206d228952a8;8.5;0.21;0.41;9.7
9390671a661f48ad9a4268e2dd3d1d7b;8.1;0.2;0.4;11.2
28dd061976bf4022bbd5ca9288e98fa3;6.3;0.255;0.37;10.9
cc80c26f270740d59acac63d021e7053;5.6;0.16;0.27;10.1
a7725b1025ee46549096152d61815d94;6.4;0.595;0.14;9.0
d7b58f10f24443f5974ba31c016263a8;6.3;0.34;0.33;12.0
ddc487cffead4c7dbb3b96ac25fd6855;6.9;0.25;0.3;9.4
2589118710c64262bce9fb8a6edeec5f;7.9;0.22;0.38;11.5
1d17b0e246d0430eaefaa80edf479456;7.6;0.18;0.46;9.9
0858a018f182499c87c27ed435ed414c;6.9;0.25;0.3;9.4
b48caee579404fb3897f2ea38f83ffb3;7.2;0.18;0.41;10.4
1b2bda4592d547638704209cff1d379d;8.2;0.23;0.4;9.7
00df73612438467b95ee577efbadc621;7.4;0.24;0.42;8.9
2195831d94464c948b2b319ce5236339;7.4;0.24;0.42;8.9
d3895e50030d4427842738c1b71480a3;6.1;0.32;0.24;12.4
6a0e4f4ec5764561b574fa141acf74ec;5.2;0.44;0.04;12.1
6383006da9cc426080a56af5a7989812;5.2;0.44;0.04;12.1
6637ab129def46fc8dcd60a66795b05b;6.1;0.32;0.24;12.4
67f0545e1dd0423c8347962594482f2a;6.4;0.22;0.56;9.1
40104497ec7840dbbd4318e7087ef8a8;6.3;0.36;0.3;10.6
b689ba6cfc334d7d9ec6b0178c39f1f3;7.4;0.24;0.42;8.9
990e0e2e900747b08a1b16d7b2deb5ae;6.7;0.24;0.35;9.5
5e51c863a1bb4db589de0dddefafac35;7.0;0.23;0.36;9.8
68a728f5622a40c7af06a388bf0b4d8a;8.4;0.27;0.46;9.6
0d38f24f5cca4108813f243282f2c8ca;6.7;0.46;0.18;12.6
3010e46304284db298b115a75735c505;7.5;0.29;0.31;9.3
0e3aceb9b6684de0937dc6626dd0dbf5;9.8;0.42;0.48;10.0
6f189e5cc8ed4fb99af1be87831d66b8;7.1;0.3;0.46;12.7
6c4adbe60c954511a20269bddb4d4b7d;7.9;0.19;0.45;11.0
69e31ec7e3c2421b9ec07a05de7cee75;7.6;0.48;0.37;11.4
1088f01f63544d14a1723b059a2dd8f6;6.3;0.22;0.43;11.5
bd6593f218104a93bcf09168dfa56d82;7.5;0.27;0.31;10.2
3109cc6692ec4944ba30459048f5fa67;6.9;0.23;0.4;11.4
04b83820332448beb77600e35d398fa3;7.2;0.32;0.47;12.6
6a7008a15a2749b78c6e7b6a4cde546a;5.9;0.23;0.3;9.4
f6063c6ba5104988bfe352f83cb67474;6.0;0.67;0.07;8.7
1089f30c87d34e42a9cfc9f1bd6b3c78;6.4;0.25;0.32;9.2
0ff96fa122bf47b280a90570ac036f1d;6.4;0.33;0.31;9.3
c64b4c8b741b4dae8e53ef0ac846c93b;7.1;0.34;0.15;9.2
68b3f9a0d81741ae9d8520db6087d422;6.8;0.28;0.4;8.7
d0b846b5ce7647fe98ab6247401a27ac;6.9;0.27;0.4;9.6
c94b6e9f37164d438f5b973966cef72a;6.8;0.26;0.56;9.3
412983a51b454d8a822eef9151c676d1;6.8;0.29;0.56;9.3
ce4ec1f59002475ab7d2b2dfd9c96dcc;6.7;0.24;0.41;9.9
2686a5af715c42e0bd320b7bdfa53737;5.9;0.3;0.23;11.0
e2bc5c928ef34683ad671bf7c0b50665;6.8;0.53;0.35;12.7
30451c567d6c44178bf1b1a8ac3c452e;6.5;0.28;0.28;8.9
cada3b966b094227828d18c346dcadfe;6.6;0.28;0.28;8.9
bb8c5bffe2814c7688f32156fbd61c67;6.8;0.28;0.4;8.7
2831d3ad8f8e4559b0f7f6706d0c5636;6.8;0.28;0.36;11.4
68a5cfe0420342b78df7af5ff4685969;6.6;0.15;0.34;9.6
6866590946844ee7be020f2d7df01caa;6.4;0.29;0.44;9.1
84624b086cde42e8a8106d3c6bbfa2c4;6.4;0.3;0.45;9.1
cd4a06342bf64912afb5f334f210b201;6.4;0.29;0.44;9.1
0a795b6ce3454368b5495d44a0a6e5ca;6.8;0.26;0.24;8.9
549576d6253c4a93a05184f78c9f2849;7.1;0.32;0.24;8.8
825c2b8d242c4cf8b1659407d26c9902;6.8;0.26;0.24;8.9
b70a9c3712ce453f9ae6c511c284f3f8;6.8;0.27;0.26;9.3
8e5952ff39cf45be83f3d726fafe4a94;7.1;0.32;0.24;8.8
4bf51ed85b1840fe8967b7e62f42b794;6.9;0.54;0.32;9.6
19519366c4b5432b898baa9af530ed8f;6.8;0.26;0.34;12.0
dd90b848e9b847b29d1910ae4eecb504;5.8;0.28;0.35;10.2
960ed9e194ad450db441011548085ab3;6.4;0.21;0.5;8.8
faa010c1221f42198ab3e9a8dac417df;7.0;0.16;0.32;9.2
41178edeba98457c89b2e3b6e8dc0895;10.2;0.44;0.88;9.9
7c6863cc384d4d54956a3227034f5559;6.8;0.57;0.29;10.2
a0136ec95d6e4acca3b750a7d553c488;6.1;0.4;0.31;9.5
067ab2520417453cb4a121db4671064d;5.6;0.245;0.25;10.5
0091d7b2bbb442daab831a6d5fc111d9;6.8;0.18;0.38;11.2
1e61b1e140ca4ac5af808198808151a2;7.0;0.16;0.32;9.2
8d09fa30de1441138b032de1094b03cb;6.7;0.13;0.29;9.7
8b80b7b5c2b442698e8929c0c821e6f1;6.2;0.25;0.25;11.1
7a054af022b6403db5ed9ad8bb6205c0;5.8;0.26;0.24;9.4
1e99e05533f24d609d9cefb49227e42c;7.5;0.27;0.36;11.0
2ef1f7f784c246abb37a80224db92bdd;5.8;0.26;0.24;9.4
c1a6c63bcba944cd9d6885c1f8573b65;5.7;0.28;0.24;9.4
64ebbfd2cf214c849b3fc62280374718;7.5;0.23;0.36;11.0
ce7255b1be564fea99a6f62cea2f4a73;7.5;0.27;0.36;11.0
445538acf61b4bf7891506466d52e413;7.2;0.685;0.21;9.1
0bfb4b70132e4d41ab907d3d4260ab50;6.2;0.25;0.25;11.1
6316d14ec25e4326926c66f83bad1b90;6.5;0.19;0.3;9.1
fbee289d661a4b29824e0f8b35c4e933;6.3;0.495;0.22;10.4
51d32974c6f34ad7a69d40cde0931513;7.1;0.24;0.41;8.7
be5e8d4e6cba4eb7a457d4057a6ab306;6.4;0.17;0.32;9.7
4d984227ccf14734a23b6e990995bee4;7.1;0.25;0.32;9.1
843b53be27e64147a0c6418ebfe12673;6.4;0.17;0.32;9.7
4aba630b761a473781b85f2cfc0f829f;7.1;0.24;0.41;8.7
32c9d729e81c4646bffddf1aeaedf3b0;6.8;0.64;0.08;8.9
14021269af8c47a99066f5da8291fc73;8.3;0.28;0.4;9.6
82276b4136fe4d2eb579ef6dc92613ec;8.2;0.27;0.39;9.5
adbfe78b26924e16aab6f9e695eec7eb;7.2;0.23;0.38;9.0
aba8e757d1374f00a7d8fb34c962573b;7.2;0.23;0.38;9.0
9931d8c6846045988c097656d79ea7c4;7.2;0.23;0.38;9.0
1d9f42621f724a1bab3b635bdd3665c0;7.2;0.23;0.38;9.0
7a0f49ae52bf4f95a3338f0788bd202a;6.8;0.52;0.32;9.6
8c162ca7681941ea8fdc5b19d1985494;7.0;0.26;0.59;11.1
af81c6c1c2e644469867daa26d0bd543;6.2;0.25;0.21;9.6
0a044aaff97748c5a70c1fa40062e868;7.3;0.32;0.23;8.7
a4ae0de9a6524f49b73d39b8ded9e112;7.7;0.31;0.26;10.4
a8ef0c3b7a134b29aa5f840e2af79b1f;7.1;0.21;0.37;11.4
e0ec99704d0a4bf280330f9db8b751b1;6.8;0.24;0.34;9.7
418367f08a6d4f2a88de5a94a459a2ba;6.9;0.4;0.56;8.7
c63387a84b614b84bbf3420441cb3987;6.1;0.18;0.36;11.3
2c8dee64745b4e60abab3dc2d939f663;6.8;0.21;0.27;12.6
0034f76fde6f4b4a8ebcec5dafb89734;5.8;0.2;0.27;10.9
e562e662739a489d99d24ccb5856f636;5.6;0.19;0.26;10.9
9f7520d2de3e49a184ea11fa25a2666d;6.1;0.41;0.14;10.0
84f335438e37436d8be27715572b225c;5.9;0.21;0.28;10.0
aafa9eb89bd64fe99604a6e07f2516bf;8.5;0.26;0.21;9.8
4023eb3124ba419da86fd5d7bde1521b;6.9;0.4;0.56;8.7
2d11169b078845c7b496bd69a7cca557;5.8;0.24;0.44;11.7
dcbc0037d9344225be8f476bcfdc1b76;5.8;0.24;0.39;9.3
efcd5379e0bf47e6bd778e5af3d76f08;6.7;0.26;0.39;9.6
0bcb784e1fcf4322a2fb3b3f734cbd86;6.3;0.35;0.3;11.0
4bae01add2704354aec2ae6fe896d9e4;6.3;0.35;0.3;11.0
bb63d7554dce40db8dcb6f02269ee406;6.4;0.23;0.39;11.8
6f728d071b504f95974edc09bd7f3abf;5.8;0.36;0.38;11.4
e0cdc3e67c9d4fbab99b292370254526;6.9;0.115;0.35;10.2
6a3c87c6695d45809d1f0233a78e381e;6.9;0.29;0.4;8.9
757e2c9957c14ded9deb446266be8556;6.9;0.28;0.4;10.2
73c1c764349a411787581a62956a6541;7.2;0.29;0.4;9.6
b7da0cf7fcbf4a3196a25c6a75f7c247;6.2;0.24;0.35;10.6
841564c458184f358d78cd8da625a40a;6.9;0.29;0.4;8.9
93254de14d8e49d7b0bd5f486217bbf5;6.9;0.32;0.26;9.2
8536b4e093bf4b2fa6d4a8f1412773ec;5.3;0.58;0.07;9.7
01b6602cad5a428ebd1c8edc0620ba1f;5.3;0.585;0.07;9.7
700777adfbff4ab194bc427fb7b4050c;5.4;0.59;0.07;9.7
a4f42c8dca584a3294f82e42871eb58c;6.9;0.32;0.26;9.2
37dfe5ab4db54e57973bacbf0508f370;5.2;0.6;0.07;9.7
acc1cd2733a941f9a44eebb13028e331;5.8;0.25;0.26;9.3
009184257b7640a5bba3f6a41218a5d2;6.6;0.58;0.3;9.0
eb147011e7e3499eacbb39eec003d8fa;7.0;0.29;0.54;9.5
a558a66a34a8472bb325c338938bbfd2;6.6;0.19;0.41;9.8
243c6be29f1843d7babcb69c0709472d;6.7;0.2;0.41;9.8
72fdbfcb4ede48f3a4b63d0fe8be3704;7.7;0.26;0.4;10.6
b9ce1ba8463a48c9a1f138d2ba0ce8c4;6.8;0.32;0.34;10.6
2c774d8408a34426ae6cc3819e705d40;7.0;0.3;0.49;12.4
9f6fa6afcd0942c8af115d00bab4a35c;7.0;0.24;0.36;12.6
9cd69d4735f443a794cba24b00feb32c;6.1;0.31;0.58;12.3
e4e00498cda546f8ab6afca00c60582c;6.8;0.44;0.37;10.5
fd677f1c59c147c2814d89ee462acfad;6.7;0.34;0.3;9.3
7f8dd13ec90a4c60820ceee677f9f005;7.1;0.35;0.24;8.8
576a3b35bda2481ab261698db8cc553e;7.3;0.32;0.25;8.8
0431cf1d08194f58a6863e2de8cad4dd;6.5;0.28;0.33;9.7
5b583c707c474b42833d4f300d05320c;7.2;0.23;0.39;9.0
c9bb4e49b8914ac38e21fd80f3c61db0;7.2;0.23;0.39;9.0
e0f8da380bb440ea8b1f584a9f549ebe;7.2;0.23;0.39;9.0
d0e688c617bc4fe689cadb4b847a4766;7.2;0.23;0.39;9.0
6da52c0010ac43bcb5ef0baeb2f2f3e3;5.9;0.15;0.31;10.5
722755868e5d481e83b8a46b6bea85ac;7.4;0.28;0.42;9.1
a9845e13e2524f06bee5288203ec7680;6.2;0.28;0.22;9.8
18ada42d07ff45fca681324f711c12f8;9.1;0.59;0.38;8.5
29037b30fbfa463eb90a1c70760b6ac1;6.3;0.33;0.27;9.4
9a5a4d8d6d2f4a6ca90747736f7f29ef;8.3;0.39;0.7;9.4
4b983c52bdf947c088d33c5ee1b02108;7.2;0.19;0.46;11.2
fe1f41fa7f184f0ea49400808799d9db;7.5;0.17;0.44;10.0
bcc10829a1a6411e805ee98734593386;6.7;0.17;0.5;10.3
7dee645c5ee143e5a4cfded8ed35091e;6.1;0.41;0.0;10.8
9147e9cda50b4e09ac3fbb7979f09ad7;8.3;0.2;0.35;10.5
5ce1b3a24d994266b09e1e1cc760b731;6.1;0.41;0.0;10.8
3027c853a1274e86aba76ac3911ed539;6.0;0.29;0.21;11.1
bbdd2117239a49c684c1529ebacc114e;7.3;0.41;0.24;9.9
bc713f48248e4e17a0fac7047e19ce87;7.3;0.41;0.24;9.9
72fe96db180b4656b5e4ca8767ba0832;7.2;0.43;0.24;9.9
2bb20bade14f495f83c0c1216300b8f1;7.3;0.4;0.24;9.9
c912e6d5218f4ad5b9151e95f360bc79;6.2;0.33;0.27;10.4
931925cf177a4290930801b9fda82af6;6.2;0.31;0.26;10.4
0449c87740f54a74948355aff51c9222;6.1;0.36;0.27;11.5
b518638eb2304b6ab5ce187b439e2f6d;5.0;0.55;0.14;12.5
16b3fb9cfb7a45d1b9b7d7552e964b14;7.8;0.25;0.41;10.0
351625e1ce5742a684467db0e74a2336;5.7;0.36;0.21;10.0
5714c63e73714ec9a1d9436ba46f6017;5.8;0.34;0.21;10.0
4ba72023e873440abeac1277be815dc7;6.8;0.28;0.6;9.1
2ab46d27512b4215a288ece7b06bb288;6.8;0.25;0.34;10.6
6fff185d2b514144a8994f1aa1bde3ca;6.6;0.24;0.35;10.5
360e5bd3e6184f22ae839de2991e9266;5.9;0.3;0.47;11.5
47b82252ad30480db476914337d876c1;6.1;0.125;0.25;10.1
16b5e29755544f6facfa6d603c615f18;6.0;0.1;0.24;10.3
7c882a74058f4904a7c31beea708fba6;6.6;0.24;0.35;10.5
f6009fb7655148298a6eff90a9690c24;6.8;0.25;0.34;10.6
1a11409992214ecf9b7171dda643bd45;6.8;0.28;0.44;10.4
83b1b88ea3294483bc0be54a4c8fb9d2;8.3;0.41;0.51;11.4
04573830210144f193d3af03161ad587;7.5;0.27;0.31;10.5
5b7e8f5f59224010957c01d811788069;7.9;0.26;0.41;10.0
df722c96a3ee4bb99d0330424c723d10;6.4;0.34;0.23;10.0
c3f5dac9ff5b4f17bd2071a258c750a8;6.5;0.28;0.35;9.6
dd2ab8c2f3e1469ca700ea75ab037af6;7.2;0.21;0.41;10.4
9a8343715c41402d9b7ab7e57666c015;6.4;0.32;0.35;12.5
cf115f00585141d694b773393007c4c8;6.8;0.24;0.34;10.6
31fa3342c70549a18a6fe0b090ee3e05;6.3;0.23;0.3;11.8
e91432000a3948a28b8f49e43134b631;6.5;0.28;0.34;9.8
fc020d7bf8894b119387db1533e937b9;5.6;0.26;0.26;10.8
12db17b9a5e74e3ba5ef6bd0069591be;6.3;0.23;0.3;11.8
e86fd5dccd2548729537b5b631be696e;6.3;0.23;0.33;11.2
f97934604c3b46f38ea5a08f8e17f630;5.8;0.27;0.27;9.3
627683ccbe1348bf92f5b6bf2008131d;5.9;0.26;0.4;10.4
8e638e7721484155920b480049e690fc;6.6;0.18;0.35;10.2
b0ff52506099490d92e9a2d8d584bfaa;7.4;0.2;0.43;9.0
496bf8ceca7d4a89b9349d6402a2aeeb;8.0;0.24;0.36;10.0
410259deb009447fa1561a4c07666674;6.4;0.26;0.42;9.1
7c337cd018c540c38c6137f79952c496;5.4;0.31;0.47;10.0
92101417f2ed4eacaba283e903439218;5.4;0.29;0.47;10.0
2091ba74f1fb446da6810d9ca0840ace;7.1;0.145;0.33;9.6
afb4deab425d41a7abb24034505cca00;5.6;0.34;0.1;11.2
2efb437106924902920df29e02f61070;6.7;0.19;0.41;8.8
165d36bb380e48d4bfc2188fcb3d77b2;7.8;0.18;0.46;10.0
ed366f3662b443ee8277974fb8ef8f60;7.6;0.17;0.45;10.0
bf2a7afb4ef549e1abedc979b7dfa18e;6.3;0.12;0.36;11.4
a7383a479b614b07a0191e3d54446c06;7.3;0.33;0.4;11.9
b22a1d8b37ac4975be4f16240cc0d7ec;5.5;0.335;0.3;9.6
d092240e7e6a48e4b19828ae493955dd;7.3;0.33;0.4;11.9
ecbff614c88c47809d5927b86f6b6591;5.8;0.4;0.42;9.6
318c40626cf64c3c8017ea058e112173;7.3;0.22;0.37;9.0
ab798f1b68a1443eb55abfa2940317de;7.3;0.22;0.37;9.0
22864d5fb6fc499d9247ccd8e33600c0;6.1;0.36;0.33;9.5
009afccdb34e45b2890a0bd1b1681866;10.0;0.2;0.39;10.4
429e751d2f22434f991c0b21f9248201;6.9;0.24;0.34;10.6
68d02689698445db86f80db16de1d8bf;6.4;0.24;0.32;10.2
05ef84b67f01493ba244f0e121428cfe;7.1;0.365;0.14;8.9
bd56cb74f6bf434c9f399a4de775956d;6.8;0.15;0.3;9.7
e677296e634f4c87aa9700f844327ffe;7.3;0.22;0.37;9.0
502dda9812ea42e3b6f95dcd2a3d3c5f;6.8;0.16;0.4;11.4
7ad0875082544946b00bc27fc1d116bb;6.0;0.26;0.32;12.3
7a985d7c798e46f183f482899b4528c0;6.0;0.18;0.27;10.8
1f8523fc7ca84b08a51a4ccb73405054;6.9;0.33;0.21;9.4
db5719b97f15497485285fa6912b3d5c;7.7;0.29;0.48;10.6
f1ad1f7619ae4b829a9080248e513821;7.1;0.39;0.35;11.6
